date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:46	2391/2391	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Apr%202025%2009:38:43%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Fpet-moulds%2Fcap-and-closure-mould%2F&format=xml	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed708d	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:47	148578/148578	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:45%20GMT	https://www.megamachinery.com/portfolio/8-cavity-edible-oil-closure-mould/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/8-cavity-edible-oil-closure-mould/index.html	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:48	229934/229934	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:39:29%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/21-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/21-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:49	148570/148570	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:46%20GMT	https://www.megamachinery.com/portfolio/8-cavity-cap-mold-for-water-neck/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/8-cavity-cap-mold-for-water-neck/index.html	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:50	210948/210948	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:39:22%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/20-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/20-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:50	148474/148474	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:48%20GMT	https://www.megamachinery.com/portfolio/12-cavity-cap-mould/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/12-cavity-cap-mould/index.html	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:52	148445/148445	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:49%20GMT	https://www.megamachinery.com/portfolio/16-cavity-cool-runner-cap-mould/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/16-cavity-cool-runner-cap-mould/index.html	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:52	177349/177349	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:39:43%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/23-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/23-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:53	169485/169485	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:39:36%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/22-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/22-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:54	148485/148485	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:51%20GMT	https://www.megamachinery.com/portfolio/24-cavity-cap-mould/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/24-cavity-cap-mould/index.html	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:56	2319/2319	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:38:52%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fportfolio%2Fpet-blow-mould%2F	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed3bca.json	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:08:56	148580/148580	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:52%20GMT	https://www.megamachinery.com/portfolio/32-cavity-cap-mould/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/32-cavity-cap-mould/index.html	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Apr%202025%2009:38:53%20GMT	https://www.megamachinery.com/?p=2507	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/index9137.html	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:08:57	246462/246462	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:39:58%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/24-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/24-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:58	2512/2512	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Apr%202025%2009:38:55%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fportfolio%2Fpet-blow-mould%2F&format=xml	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed1df7	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:00	94312/94312	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2008:46:36%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/27-27.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/27-27.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:00	26580/26580	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2008:22:12%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/a.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/a.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:02	30477/30477	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2008:22:15%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/d.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/d.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:03	33879/33879	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2008:22:13%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/b.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/b.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:04	31220/31220	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2008:22:16%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/e.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/e.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:05	32629/32629	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2008:30:32%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/c-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/c-1.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:07	36028/36028	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2008:22:17%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/f.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/f.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:08	49615/49615	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Oct%202024%2007:36:48%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/2019-c-6-16-3.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/2019-c-6-16-3.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
